date,year,month,day,season,rainfall,temperature,enterococci,day_num,month_num,month_name,season_name
02/01/2013,2013,1,2,1,0,23.4,6.7,2,1,January,Summer
06/01/2013,2013,1,6,1,0,30.3,2,6,1,January,Summer
12/01/2013,2013,1,12,1,0,31.4,69.1,12,1,January,Summer
18/01/2013,2013,1,18,1,0,46.4,9,18,1,January,Summer
24/01/2013,2013,1,24,1,0,27.5,33.9,24,1,January,Summer
30/01/2013,2013,1,30,1,0.6,26.6,26.5,30,1,January,Summer
05/02/2013,2013,2,5,1,0.1,25.7,66.9,36,2,February,Summer
11/02/2013,2013,2,11,1,8,22.2,117.5,42,2,February,Summer
17/02/2013,2013,2,17,1,13.6,26.3,75,48,2,February,Summer
23/02/2013,2013,2,23,1,7.2,24.8,310.6,54,2,February,Summer
01/03/2013,2013,3,1,2,28.6,21.2,135.4,60,3,March,Autumn
07/03/2013,2013,3,7,2,0,29.1,14.6,66,3,March,Autumn
13/03/2013,2013,3,13,2,0,29.4,3.5,72,3,March,Autumn
19/03/2013,2013,3,19,2,0,24.2,10.18181818,78,3,March,Autumn
25/03/2013,2013,3,25,2,0,25.8,57,84,3,March,Autumn
02/04/2013,2013,4,2,2,0,24.4,12.36363636,92,4,April,Autumn
06/04/2013,2013,4,6,2,12.6,22,43.63636364,96,4,April,Autumn
12/04/2013,2013,4,12,2,0,26.1,6.727272727,102,4,April,Autumn
18/04/2013,2013,4,18,2,7.8,23.2,8.454545455,108,4,April,Autumn
24/04/2013,2013,4,24,2,0,22.9,6.090909091,114,4,April,Autumn
01/05/2013,2013,5,1,2,0,24.4,6.090909091,121,5,May,Autumn
07/05/2013,2013,5,7,2,0,20,1.2,127,5,May,Autumn
14/05/2013,2013,5,14,2,0.4,19.3,9.2,134,5,May,Autumn
20/05/2013,2013,5,20,2,0,20.2,2.1,140,5,May,Autumn
25/05/2013,2013,5,25,2,11.4,18.6,17.1,145,5,May,Autumn
31/05/2013,2013,5,31,2,0,25,4.3,151,5,May,Autumn
06/06/2013,2013,6,6,3,0,21.8,4.1,157,6,June,Winter
12/06/2013,2013,6,12,3,0,16.2,160.9,163,6,June,Winter
17/06/2013,2013,6,17,3,0,16.4,24.22222222,168,6,June,Winter
24/06/2013,2013,6,24,3,55.6,15,32.5,175,6,June,Winter
30/06/2013,2013,6,30,3,60.8,15.7,845.2,181,6,June,Winter
06/07/2013,2013,7,6,3,0,18.5,5.3,187,7,July,Winter
12/07/2013,2013,7,12,3,0,20.8,2.5,193,7,July,Winter
18/07/2013,2013,7,18,3,0,23.3,4.2,199,7,July,Winter
24/07/2013,2013,7,24,3,0,16.1,47,205,7,July,Winter
30/07/2013,2013,7,30,3,0,20.1,2.4,211,7,July,Winter
